,A,B,C,D,E,F,G,H,I,J
333,104.7,210.26,74.98,39.05,56.63,14.94,43.73,34.63,21.92,99.64
334,104.04,213.64,75.96,38.8,58.6,14.86,43.42,34.74,21.94,102.96
335,102.9,211.74,75.3,38.4,56.73,14.67,43.34,33.9,22.0,98.86
336,102.82,215.59,76.85,37.79,55.83,14.36,42.94,33.76,22.45,101.65
337,105.03,217.52,79.1,37.94,56.97,14.55,44.19,34.33,22.59,103.81
338,101.57,213.85,77.83,37.0,57.21,14.2,42.77,35.36,22.61,104.17
339,101.4,213.83,78.69,36.34,57.75,13.87,42.25,34.69,22.79,102.94
340,100.53,216.11,78.91,36.18,57.92,13.89,42.4,34.83,23.17,103.62
341,103.21,216.65,77.53,37.91,59.09,14.65,44.09,36.26,23.28,110.16
342,105.85,223.5,79.76,37.97,59.24,14.92,44.43,36.69,23.35,109.23
343,109.91,221.91,80.07,38.76,59.64,15.4,45.19,36.46,23.64,114.37
344,106.79,221.57,80.2,38.36,59.99,14.81,44.35,35.83,23.91,114.76
345,105.16,219.87,80.49,37.86,60.62,14.23,43.54,36.44,23.74,115.11
346,104.76,221.36,80.58,37.76,62.13,14.25,43.51,35.31,23.86,119.58
347,104.18,219.99,81.71,38.26,63.17,14.34,43.27,35.21,23.91,121.43
348,94.98,214.33,81.74,35.33,62.67,12.59,38.89,33.35,23.49,122.47
349,90.01,214.83,81.59,34.18,61.48,11.62,37.1,32.52,22.99,121.23
350,88.69,213.23,80.11,33.97,60.17,11.73,37.01,33.24,22.82,116.65
351,88.48,214.8,80.35,34.99,60.53,11.96,37.84,32.11,23.56,116.76
352,95.32,221.18,80.69,37.49,60.37,13.24,40.77,32.73,24.37,118.15
353,93.5,220.78,79.78,37.41,58.88,13.17,40.34,33.91,24.42,114.39
354,92.78,222.75,79.23,37.82,59.68,13.07,40.07,33.48,23.68,113.11
355,97.55,227.31,79.38,39.87,58.61,14.21,41.72,33.55,24.42,113.04
356,100.42,227.79,81.93,41.05,59.2,14.5,43.16,33.65,24.38,114.09
357,98.63,224.33,79.97,41.06,59.7,14.41,42.99,35.03,24.3,113.76
358,98.09,224.72,77.84,40.83,58.85,14.21,42.48,35.93,25.23,110.93
359,98.17,227.58,77.1,40.67,59.3,14.31,42.81,35.95,24.93,111.03
360,97.71,225.42,75.88,40.42,59.98,14.23,42.33,37.05,24.58,111.59
361,97.62,225.87,76.57,40.89,61.64,14.61,42.86,34.19,24.4,115.15
362,93.86,221.32,76.32,38.28,61.85,13.6,39.97,34.79,24.29,114.86
363,93.61,221.61,76.73,38.27,63.57,13.63,39.31,34.96,24.44,116.62
364,93.33,219.18,74.14,38.05,60.48,13.48,39.12,34.78,24.7,108.35
365,93.7,224.15,74.06,37.65,59.97,13.04,38.72,35.28,25.14,101.41
366,92.98,222.67,73.69,37.95,58.94,13.09,39.32,33.94,25.25,101.65
367,94.63,216.92,72.72,39.73,59.91,14.22,41.35,33.17,24.74,98.41
368,94.85,212.98,70.95,39.59,61.87,14.3,41.22,33.38,24.73,103.38
369,96.09,215.23,69.58,39.73,62.68,14.22,41.06,34.69,24.8,100.84
370,96.44,222.39,71.06,39.84,61.85,13.97,40.53,31.73,25.62,98.56
371,98.33,222.03,71.2,40.0,62.2,14.06,40.98,30.19,25.93,98.59
372,99.39,217.6,69.28,40.72,61.32,14.13,41.49,29.81,25.39,98.73
373,99.31,216.33,70.13,40.06,61.97,14.02,41.52,30.51,24.51,98.21
374,97.36,214.89,69.61,38.81,60.86,13.57,39.94,30.87,24.41,95.75
375,97.19,218.89,70.38,38.73,59.21,13.11,40.19,32.14,24.49,96.01
376,96.86,217.02,70.44,39.02,58.93,13.26,40.47,31.54,24.1,96.02
377,96.77,219.32,69.56,38.92,59.97,13.39,40.9,32.66,23.68,98.11
378,96.56,222.27,70.4,38.74,60.86,12.76,40.47,32.86,24.04,98.02
379,95.98,218.9,70.22,38.95,62.02,12.89,40.29,31.99,24.45,96.71
380,96.42,220.56,68.69,39.48,59.43,13.18,40.96,32.78,24.55,97.05
381,96.55,218.6,67.98,39.52,58.18,12.63,39.91,32.11,24.64,92.7
382,96.54,224.22,68.6,39.24,58.13,12.69,40.21,33.05,24.74,90.19
383,96.69,224.11,68.76,39.06,59.36,12.46,39.81,33.1,24.71,93.81
384,95.98,224.9,68.31,38.76,59.57,12.47,39.93,34.58,25.3,92.95
385,96.96,221.31,68.9,38.71,59.5,12.4,39.87,35.03,25.53,98.56
386,96.41,224.03,68.21,39.04,60.25,12.51,40.36,34.97,26.17,100.22
387,95.78,222.03,67.93,38.78,60.32,12.45,40.15,35.72,25.93,98.55
388,94.61,222.3,67.72,38.9,61.58,12.58,40.58,36.46,25.64,99.51
389,98.08,227.26,66.78,40.8,59.9,13.31,42.9,37.72,26.49,99.64
390,101.09,229.07,67.31,43.06,61.96,14.03,45.2,39.1,26.81,101.8
391,100.47,227.76,67.16,42.87,61.54,14.3,45.59,37.76,26.9,102.52
392,100.03,229.36,67.45,42.78,61.5,14.45,45.54,38.71,26.75,100.71
393,100.17,231.27,67.95,42.92,60.37,14.18,45.16,37.99,26.89,96.4
394,104.16,240.87,67.65,44.16,60.63,14.65,47.02,38.8,27.89,95.54
395,104.02,240.77,70.93,43.97,61.59,14.33,46.04,39.82,27.8,97.89
396,101.82,241.83,71.46,43.03,61.88,13.71,45.03,41.46,28.11,95.75
397,100.85,234.93,70.62,43.41,60.73,13.82,45.32,43.18,27.77,92.61
398,100.86,229.26,71.93,43.36,59.78,13.82,45.44,43.53,27.48,92.53
399,101.36,228.46,72.39,43.38,60.97,13.71,45.31,44.33,27.9,95.03
400,102.04,228.79,72.42,43.6,59.79,13.97,46.2,44.99,27.84,96.71
401,97.78,224.43,71.68,41.29,61.26,13.13,43.56,44.28,27.45,96.5
402,98.05,227.73,71.52,42.02,60.31,13.16,43.61,44.67,27.78,92.9
403,99.23,229.95,71.59,42.69,60.73,13.39,43.77,45.84,28.57,91.22
404,99.5,232.12,72.16,42.08,60.67,13.49,43.82,46.95,28.94,92.57
405,97.54,231.2,72.56,42.32,60.18,13.5,43.66,44.4,28.43,91.16
406,98.07,233.94,70.71,43.17,58.47,13.53,44.47,44.53,28.22,88.32
407,97.96,234.78,69.07,42.71,57.8,13.48,43.72,43.69,28.03,89.63
408,98.31,245.54,69.3,42.79,56.43,13.6,43.54,40.8,28.62,85.76
409,100.97,252.54,69.15,43.55,55.25,14.06,44.51,41.97,28.64,87.13
410,103.09,256.47,69.48,43.36,55.01,13.93,44.96,43.71,29.34,89.02
411,103.56,259.0,69.85,43.2,54.51,13.76,44.44,44.85,29.3,90.73
412,100.58,253.88,69.89,40.79,52.71,13.44,42.42,45.37,29.39,87.65
413,102.22,256.66,69.86,41.41,52.95,13.39,42.27,43.18,28.81,87.06
414,103.51,259.54,68.89,42.32,52.63,13.86,43.13,44.35,28.75,86.2
415,100.12,258.38,69.25,41.29,51.99,13.35,41.55,42.33,28.0,86.42
416,104.69,263.88,67.95,43.18,52.43,13.95,43.08,43.46,28.82,88.4
417,105.01,262.68,67.31,43.61,51.87,14.02,43.96,45.05,28.14,88.91
418,104.59,265.83,67.49,42.53,52.41,13.28,42.83,46.17,28.78,89.44
419,108.37,263.49,67.87,43.09,51.8,13.54,44.39,47.63,28.99,86.77
420,107.52,263.64,67.39,43.13,51.88,13.47,44.1,47.01,29.02,85.33
421,109.34,266.76,67.08,43.42,51.49,13.66,44.61,46.8,28.97,88.54
422,109.14,269.49,66.81,43.92,52.44,13.71,45.38,47.81,28.77,89.44
423,109.77,271.78,66.27,44.28,52.03,13.67,45.47,47.28,29.05,88.18
424,109.84,268.19,66.71,44.26,54.4,13.59,45.36,46.29,29.48,93.02
425,113.37,274.99,67.31,45.55,52.96,13.8,46.49,43.8,29.48,89.14
426,113.01,274.4,67.23,45.73,54.85,13.88,46.78,45.05,28.69,92.37
427,112.79,276.09,68.04,46.11,56.89,13.7,46.73,43.09,28.91,95.7
428,114.09,276.19,67.91,45.85,57.39,13.87,47.06,43.23,28.9,96.62
429,112.76,275.27,67.06,45.37,57.56,13.83,46.57,43.65,28.68,94.54
430,112.82,277.57,67.08,45.52,58.04,14.02,47.27,43.83,28.74,95.91
431,112.99,276.17,67.08,46.29,58.92,14.3,47.74,43.33,28.38,97.02
432,113.59,271.14,66.86,46.88,60.85,14.47,49.04,43.8,27.67,99.58
433,116.93,274.17,67.77,48.3,60.88,14.92,50.61,45.33,28.3,97.6
434,116.79,273.52,69.83,48.26,63.55,14.83,50.04,44.35,28.56,101.93
435,116.69,273.13,70.33,48.26,65.01,15.07,50.1,45.87,28.19,104.89
436,116.48,265.46,70.03,48.2,67.93,15.58,51.17,44.88,27.49,106.8
437,118.11,265.87,70.13,49.56,67.25,16.06,52.01,42.0,27.52,104.51
438,116.82,263.59,70.59,48.78,67.86,15.85,51.49,42.86,27.25,108.18
439,114.68,263.17,69.45,47.54,65.42,15.49,49.97,43.05,27.38,105.22
440,112.27,262.3,69.51,46.95,65.38,15.05,49.01,43.33,27.5,105.18
441,113.0,260.42,70.61,46.66,64.93,15.06,48.85,40.2,27.09,109.45
442,111.16,258.09,70.54,45.47,63.36,14.75,47.97,39.66,27.23,109.83
443,111.33,257.94,69.46,45.14,64.29,14.71,48.15,40.29,26.89,110.75
444,110.48,254.77,68.05,44.62,65.24,14.53,47.26,40.26,26.75,113.87
445,110.09,258.03,67.84,44.01,65.44,14.34,47.3,40.72,26.56,114.42
446,111.01,265.29,67.45,44.01,65.38,14.57,47.72,37.7,26.51,114.63
447,110.53,261.11,65.32,44.35,63.43,14.5,47.56,37.43,26.01,111.68
448,110.71,259.93,65.0,44.77,63.42,14.58,47.48,36.86,25.84,111.58
449,111.28,252.93,64.46,44.52,65.56,14.77,47.78,37.76,25.41,114.36
450,109.99,244.72,63.85,44.41,65.07,14.65,47.96,37.38,24.71,120.05
451,109.47,246.48,63.37,45.03,65.17,14.59,47.99,38.78,24.41,121.69
452,108.97,242.7,63.7,45.24,64.29,14.61,47.93,40.24,24.71,121.81
453,112.7,243.14,64.7,47.08,66.02,14.93,49.59,40.36,24.77,121.17
454,112.01,242.27,65.15,47.04,68.1,14.7,49.91,40.78,24.84,118.58
455,109.64,242.39,65.8,46.64,69.1,14.4,49.88,42.22,25.26,117.63
456,108.68,243.13,67.15,46.01,69.11,14.19,49.37,43.16,24.94,114.33
457,106.64,246.1,67.56,45.17,68.39,13.71,47.67,44.18,24.75,113.84
458,105.49,247.21,65.53,45.2,67.46,13.75,47.5,45.12,24.53,111.16
459,106.0,252.05,65.68,45.68,66.01,13.98,47.79,46.58,24.94,111.04
460,104.95,248.47,65.08,45.98,65.81,14.07,47.77,47.58,25.09,107.59
461,102.53,245.58,65.53,45.57,65.09,13.74,46.5,49.04,24.92,104.85
462,103.32,246.86,65.19,45.95,65.33,13.53,45.91,50.85,25.2,106.26
463,104.41,246.76,65.28,46.28,66.19,13.64,45.65,51.7,25.06,108.63
464,102.92,248.37,65.0,46.17,66.18,13.99,45.9,51.6,25.32,106.77
465,102.52,246.12,64.75,46.28,65.01,13.74,45.65,53.66,25.37,106.58
466,102.88,248.33,64.86,46.99,66.75,13.88,45.48,51.26,25.38,110.16
467,101.98,243.17,65.03,46.16,68.06,13.62,44.33,51.86,25.45,110.22
468,100.93,245.62,67.33,45.36,67.37,13.46,43.58,52.45,26.06,107.72
469,103.09,245.85,67.62,46.09,67.22,13.5,44.38,51.24,26.53,102.88
470,102.52,242.37,67.0,45.37,67.28,13.39,43.84,51.78,25.98,103.8
471,102.7,242.16,65.81,46.0,66.39,13.43,43.95,51.34,26.17,101.82
472,102.61,238.28,64.53,46.75,66.13,13.87,44.61,50.69,25.5,102.22
473,103.35,234.88,64.76,47.43,65.7,14.14,45.44,47.65,25.18,101.63
474,103.8,236.06,64.4,47.47,65.68,14.2,45.78,48.21,25.09,101.06
475,104.93,239.74,64.27,47.57,64.88,14.23,45.47,43.61,25.51,101.72
476,106.76,238.85,62.75,48.31,61.55,14.3,45.63,42.45,25.06,96.79
477,102.7,233.68,61.67,46.45,60.0,13.57,43.12,43.94,24.48,93.76
478,105.27,237.64,61.89,47.48,60.1,13.97,43.55,45.32,24.53,96.25
479,104.6,237.13,60.9,47.28,59.57,14.12,43.66,43.75,24.38,96.14
480,104.64,239.1,60.3,46.58,59.5,14.16,43.59,44.8,24.62,95.6
481,105.81,240.21,60.79,47.16,59.75,14.05,43.54,43.29,24.48,94.31
482,104.11,238.45,61.0,46.87,61.03,13.9,43.37,44.36,24.31,99.59
483,104.98,240.46,61.96,47.79,63.69,13.82,43.98,43.09,24.72,103.94
484,105.22,242.93,62.08,48.17,63.36,13.87,43.96,38.64,24.99,102.99
485,103.7,243.75,62.13,48.11,64.21,13.84,43.99,40.13,24.89,102.85
486,102.31,245.57,64.16,46.62,65.91,13.46,43.22,41.67,25.28,104.75
487,102.71,246.36,64.7,46.83,67.29,13.59,43.84,39.76,25.68,106.94
488,103.02,251.41,63.86,47.02,69.5,13.49,43.67,39.58,25.34,109.14
489,99.76,249.06,63.53,45.47,70.85,12.95,42.83,38.43,24.78,108.89
490,99.98,248.93,63.81,45.0,72.28,12.65,42.29,37.22,24.88,109.0
491,100.63,252.52,64.02,45.57,70.32,12.4,42.2,37.95,26.01,106.98
492,102.11,252.85,63.44,45.92,67.98,12.65,42.25,38.85,26.28,102.87
493,101.77,256.15,63.6,45.98,67.53,12.7,41.81,38.6,25.8,101.32
494,102.52,262.99,62.82,46.33,67.92,12.83,42.47,39.79,26.19,99.12
495,106.74,267.88,60.48,48.96,65.37,13.65,44.47,41.41,26.59,95.11
496,106.57,266.58,59.99,48.56,65.84,13.74,45.03,41.42,27.37,96.02
497,102.92,267.0,60.48,46.65,63.23,13.0,43.48,41.77,26.81,91.83
498,102.34,265.56,59.2,46.44,63.93,13.16,43.59,39.94,27.26,92.63
499,102.29,267.37,59.22,46.79,64.07,13.28,43.33,40.2,27.15,93.03
500,103.39,268.82,60.44,47.26,67.29,13.74,43.77,41.07,27.55,100.32
501,103.18,266.69,60.52,47.83,66.31,13.61,44.16,42.61,27.65,101.57
502,102.79,273.06,60.13,47.74,66.18,13.8,43.47,43.58,27.53,103.23
503,102.49,274.73,59.73,47.96,66.47,13.81,43.8,44.47,27.09,101.36
504,101.8,274.96,58.6,48.04,65.28,13.74,43.47,45.16,26.76,97.95
505,102.44,274.1,58.65,48.18,63.68,13.73,43.7,45.18,27.54,95.01
506,102.38,269.4,58.12,47.04,64.02,13.61,42.87,41.86,27.16,94.6
507,101.24,276.91,59.19,46.82,63.65,13.47,42.62,40.21,28.19,95.18
508,102.31,285.79,59.89,47.16,63.1,13.73,43.18,37.22,28.41,94.26
509,103.89,284.88,60.08,48.85,63.52,14.17,43.73,37.98,28.13,96.23
510,103.92,288.33,59.59,48.36,63.05,13.88,43.85,38.63,28.11,92.55
511,99.02,287.62,58.88,45.89,62.53,12.76,41.05,36.89,27.59,92.91
512,97.18,288.25,58.95,44.66,62.19,12.51,40.04,37.85,27.33,91.33
513,94.95,285.2,58.51,43.66,61.02,12.01,38.97,39.14,26.43,88.18
514,95.39,282.0,57.58,43.47,59.77,12.32,38.87,38.8,26.98,85.57
515,94.36,278.81,56.73,42.67,58.21,11.9,37.13,40.18,26.24,83.08
516,95.39,283.63,57.54,43.04,58.68,11.79,37.34,40.06,25.63,86.01
517,98.15,281.65,57.6,44.01,59.27,12.19,38.16,39.09,25.98,90.06
518,98.69,279.31,57.0,43.45,57.19,12.23,37.99,39.33,25.77,85.1
519,97.72,284.54,57.14,43.63,56.92,12.06,37.75,38.69,26.21,83.94
520,96.28,284.76,57.52,42.72,57.19,11.73,37.01,39.58,26.28,86.63
521,98.2,283.18,56.66,43.83,56.15,12.08,38.06,36.47,26.21,87.02
522,97.8,282.79,56.19,43.72,54.51,12.21,38.42,37.44,25.7,85.95
523,97.94,280.54,55.35,44.15,54.97,12.12,38.29,36.47,25.51,86.76
524,100.17,289.19,56.15,45.44,55.65,12.27,38.81,37.73,25.81,92.23
525,102.39,294.76,56.99,46.05,56.27,12.66,40.28,36.83,25.98,92.39
526,102.53,293.03,56.13,46.3,56.69,12.9,40.2,37.93,25.67,95.44
527,100.52,285.29,56.64,46.37,57.18,12.61,39.98,39.25,25.81,93.68
528,100.84,283.56,56.58,46.88,57.01,12.85,40.3,39.54,25.97,92.63
529,104.48,289.88,56.04,48.46,56.55,13.63,41.95,40.37,26.57,91.45
530,105.46,284.39,57.21,49.37,56.83,13.9,42.67,38.99,25.78,88.88
531,105.65,283.47,56.57,49.93,56.61,14.35,43.06,40.2,25.31,89.05
532,105.4,282.4,55.56,49.95,56.81,14.38,43.45,40.05,25.45,88.48
533,104.68,279.26,55.22,49.58,55.85,14.2,42.95,40.3,25.49,84.02
534,106.04,281.48,54.06,50.6,55.29,14.72,43.9,41.0,25.48,84.84
535,106.58,282.41,52.8,50.2,55.43,15.31,43.92,41.98,25.53,82.87
536,106.35,281.81,52.77,50.58,54.94,15.38,44.09,38.9,25.39,81.43
537,105.09,280.15,52.3,51.08,54.68,15.26,44.09,38.85,25.27,82.83
538,104.86,279.71,52.18,51.85,55.09,15.26,44.24,38.8,25.82,81.7
539,104.3,287.66,52.52,52.01,56.9,15.04,44.05,36.37,26.7,81.55
540,103.47,285.79,52.52,51.48,57.38,14.82,43.72,36.52,26.57,81.21
541,106.34,287.07,51.48,53.37,56.16,15.58,45.63,37.26,26.73,78.54
542,106.19,282.38,50.67,53.97,55.66,16.11,46.39,36.36,27.21,78.22
543,106.05,286.95,50.88,53.65,55.69,16.03,46.09,37.17,28.02,75.92
544,103.13,286.64,51.22,51.66,54.69,15.32,44.35,37.69,27.31,76.99
545,103.52,284.61,50.52,52.23,53.86,15.32,44.1,37.78,27.76,76.54
546,105.9,286.16,49.55,53.58,53.32,16.05,46.06,38.34,27.69,76.42
547,104.25,284.03,49.19,52.95,52.51,15.41,44.98,37.31,27.37,75.42
548,104.96,281.45,48.81,52.38,52.84,15.35,44.22,36.92,27.0,76.53
549,105.57,283.52,50.17,51.54,53.72,15.07,44.03,38.15,27.32,77.88
550,103.88,281.19,51.61,50.03,52.15,14.51,42.39,35.83,27.47,76.92
551,102.7,283.03,50.61,49.4,52.05,14.42,42.09,35.89,28.2,78.24
552,104.34,277.69,50.28,49.66,52.22,14.98,42.17,34.99,28.13,77.89
553,102.09,274.12,50.14,48.22,49.31,14.62,41.12,34.2,27.89,72.45
554,100.78,281.14,50.03,46.93,48.72,14.36,40.91,32.82,28.02,71.86
555,99.57,281.68,49.53,47.18,47.48,14.33,40.63,34.05,27.22,69.74
556,100.73,282.92,50.55,48.34,48.18,14.78,41.5,34.48,27.74,71.45
557,102.6,282.52,50.19,49.23,49.09,15.01,42.47,32.76,28.45,72.17
558,100.25,278.83,49.63,49.26,50.19,15.05,42.7,32.75,28.52,72.56
559,99.97,276.71,49.36,48.88,50.76,15.01,42.95,31.47,28.18,72.88
560,94.02,272.23,49.41,46.68,51.13,14.27,40.9,31.94,27.96,72.7
561,98.08,275.08,49.45,48.3,50.25,14.98,42.3,32.6,28.37,73.21
562,96.41,271.68,50.74,47.37,50.19,14.53,41.65,32.64,28.21,74.26
563,94.18,273.61,51.12,46.45,52.22,14.15,40.92,33.71,28.78,78.42
564,94.34,271.14,51.42,46.6,51.73,14.52,41.4,32.71,28.7,79.61
565,93.42,271.93,52.76,45.54,53.41,14.15,40.84,32.25,28.74,82.75
566,95.19,280.56,53.25,45.35,54.45,14.37,40.81,32.5,28.71,84.07
567,95.46,284.27,53.67,45.21,53.53,14.17,41.02,33.88,28.64,83.38
568,97.7,283.98,53.39,46.1,53.78,14.28,41.27,34.61,29.22,84.0
569,96.56,283.05,53.54,46.82,53.36,14.43,41.35,35.84,29.4,88.06
570,96.03,280.08,54.0,47.67,54.06,14.58,41.87,35.78,29.82,89.31
571,95.29,278.82,53.48,47.63,54.54,14.6,41.89,37.17,30.09,91.04
572,97.42,283.77,52.95,47.84,55.9,14.89,42.86,38.33,29.58,93.81
573,96.91,279.95,52.72,48.64,56.7,15.0,42.8,38.38,29.84,91.87
574,95.69,285.84,52.62,47.51,55.08,14.58,41.48,37.47,30.46,90.71
575,90.34,284.76,52.9,44.23,56.47,13.03,37.97,37.62,29.89,91.52
576,91.38,281.42,52.32,44.37,56.84,13.07,37.63,38.14,29.51,89.95
577,90.73,283.96,52.95,43.42,56.88,12.86,37.5,37.56,29.31,92.96
578,91.24,282.34,53.0,43.05,56.05,12.64,37.42,38.41,29.74,93.03
579,91.3,288.18,54.35,43.17,56.17,12.54,37.0,39.93,29.57,91.61
580,89.79,288.12,56.91,42.51,56.16,11.96,36.14,40.84,29.75,93.02
581,89.73,287.62,57.58,42.41,56.79,11.8,35.77,40.04,30.53,92.42
582,89.77,284.33,57.0,42.31,56.04,11.84,35.66,40.2,30.49,93.61
583,90.62,282.2,57.74,43.1,56.32,12.03,36.12,40.44,30.37,94.74
584,91.48,285.32,56.93,43.45,56.85,11.84,36.37,39.65,30.84,93.96
585,94.23,292.82,55.87,45.33,58.1,12.39,38.11,38.76,31.01,95.1
586,96.3,292.44,55.52,46.25,57.91,12.82,38.9,40.04,30.98,91.91
587,95.64,295.45,55.44,46.0,57.77,12.6,38.74,39.35,31.07,89.95
588,95.23,298.28,54.61,46.04,57.53,12.55,38.79,40.36,31.05,88.97
589,94.9,293.72,55.1,46.65,59.17,12.57,37.7,38.78,31.24,89.27
590,95.7,293.58,54.9,47.03,59.2,12.52,37.77,39.64,31.13,88.32
591,97.25,289.03,53.26,48.3,60.45,12.77,38.6,40.77,30.03,88.49
592,94.82,295.01,53.73,48.23,59.23,12.44,38.05,39.81,30.84,90.48
593,94.89,306.6,53.94,48.47,58.63,12.6,37.66,40.85,30.63,87.14
594,94.54,306.79,54.08,48.41,60.0,12.67,37.52,41.57,29.8,86.47
595,93.83,309.08,55.04,48.35,61.76,12.68,37.03,40.86,29.59,88.11
596,92.97,306.93,54.98,48.66,61.38,12.89,37.17,42.03,30.27,87.1
597,93.73,311.89,54.06,50.34,59.94,13.63,38.22,43.59,30.03,84.91
598,92.53,312.23,53.04,49.13,58.48,13.57,38.05,44.28,30.58,82.35
599,90.64,306.84,53.83,47.69,59.29,13.16,36.64,43.53,30.53,81.46
600,91.49,310.81,53.31,47.87,59.21,13.4,36.84,41.8,30.44,80.98
601,91.14,307.75,53.43,47.11,59.14,13.09,36.29,40.76,29.88,80.82
602,92.24,315.12,54.83,46.89,59.38,13.25,36.52,42.21,29.82,82.03
603,93.19,320.28,54.22,46.81,59.98,13.62,37.14,43.07,29.39,83.22
604,92.49,310.76,54.34,46.56,60.58,13.73,37.3,42.48,28.86,84.18
605,93.53,314.3,54.12,46.98,60.12,13.61,36.99,40.97,29.11,82.63
606,94.79,324.5,55.14,48.35,60.09,13.62,37.32,42.35,29.32,82.84
607,92.71,317.35,54.87,46.93,60.35,12.97,35.93,43.8,29.22,82.85
608,95.15,319.24,54.78,48.4,59.48,13.58,37.13,45.57,29.16,79.93
609,94.59,322.2,54.71,48.13,60.04,13.34,37.05,45.99,29.19,83.35
610,94.77,320.3,54.72,47.28,60.78,13.34,37.08,46.76,29.12,86.37
611,96.53,323.1,55.59,47.59,59.95,13.57,37.73,48.76,29.34,83.84
612,96.19,320.51,56.44,47.39,61.48,13.66,38.11,47.6,29.42,86.13
613,99.57,320.99,56.29,48.4,60.08,14.17,39.76,45.27,29.04,84.84
614,100.62,323.95,55.43,49.21,59.39,14.35,40.08,45.67,28.99,85.11
615,98.45,320.76,55.24,48.25,58.19,14.12,39.22,47.06,28.91,84.02
616,93.32,315.03,55.15,46.05,59.41,13.43,37.71,48.11,28.24,86.81
617,91.43,314.4,55.45,45.25,59.3,13.18,36.6,49.16,27.91,89.3
618,85.68,302.61,56.64,42.79,60.56,12.33,34.12,50.65,27.37,87.34
619,86.02,310.41,56.08,42.86,60.99,12.66,34.34,50.9,27.09,86.45
620,90.8,309.75,56.56,44.53,62.1,13.68,36.31,50.63,27.11,89.59
621,89.88,318.9,56.48,43.86,63.1,13.08,35.87,51.29,27.54,91.74
622,88.55,313.17,56.08,42.12,61.58,12.84,34.49,53.22,27.11,89.69
623,89.76,311.57,57.17,43.49,61.78,13.0,34.99,55.04,27.39,89.74
624,88.47,308.82,56.52,43.62,62.94,12.91,35.04,56.26,27.08,90.73
625,87.88,310.99,57.69,44.65,63.0,12.98,34.98,58.09,27.42,90.86
626,86.08,310.08,57.58,43.84,64.42,12.37,34.03,59.97,27.38,92.28
627,85.3,312.76,57.59,43.87,62.97,12.74,33.61,59.81,27.39,92.66
628,85.1,307.26,59.41,44.72,66.87,12.73,33.75,61.08,27.06,98.92
629,86.93,313.56,58.23,45.0,64.75,13.31,34.57,61.55,27.68,96.35
630,86.99,312.47,58.49,45.58,65.01,13.37,34.6,63.49,26.9,96.36
631,89.6,312.92,58.22,45.75,63.61,13.07,34.7,62.92,27.23,95.86
632,91.42,313.05,58.21,45.59,64.49,13.15,34.87,63.41,27.6,96.14
633,90.71,309.47,58.94,44.6,64.78,13.0,34.05,64.62,27.47,96.47
634,92.31,312.07,59.81,46.06,63.63,13.15,34.96,67.05,27.76,93.28
635,88.77,309.24,60.28,44.96,62.32,12.58,33.77,65.5,27.48,91.01
636,87.7,304.8,60.28,44.84,61.36,12.65,33.26,63.42,27.27,90.65
637,88.36,312.75,61.14,45.64,59.25,12.88,34.44,64.17,27.51,89.42
638,87.78,308.26,62.22,46.01,60.64,13.18,34.83,63.17,27.33,91.29
639,87.6,304.84,60.65,45.72,60.26,12.97,34.54,65.03,27.82,90.64
640,88.37,307.28,60.66,46.36,59.25,12.77,34.19,66.18,28.76,89.83
641,87.92,308.95,62.81,46.39,61.3,12.49,34.25,66.15,28.9,91.29
642,89.23,308.39,63.19,46.71,61.79,12.86,35.0,66.59,28.86,91.97
643,91.76,312.02,63.31,47.33,61.38,13.01,35.35,62.11,28.81,88.41
644,91.71,316.53,63.49,48.1,60.34,13.16,35.48,61.1,29.05,89.26
645,91.45,313.69,62.91,47.34,59.71,12.99,35.05,59.7,28.9,89.44
646,92.51,317.77,63.07,47.75,60.51,13.08,34.52,61.24,29.39,90.75
647,97.4,324.66,62.73,49.82,60.98,13.72,36.15,60.62,29.85,93.34
648,95.8,330.41,62.13,50.13,62.2,13.65,35.54,59.88,29.76,94.33
649,97.41,334.7,62.75,51.0,60.51,13.49,35.41,61.29,29.38,93.41
650,96.83,343.48,62.66,50.57,57.72,13.27,34.91,63.51,30.13,90.77
651,97.98,350.3,62.05,50.94,56.97,13.22,35.03,65.31,30.29,87.64
652,97.81,355.0,60.39,50.77,55.74,13.11,34.75,67.77,30.24,85.2
653,100.06,350.19,60.52,50.89,55.71,13.53,35.54,66.5,30.23,85.98
654,98.51,347.33,61.04,51.02,54.74,13.3,34.89,68.49,30.2,83.71
655,99.84,345.81,60.88,51.46,55.86,13.39,35.24,67.97,30.08,84.33
656,100.32,350.15,61.12,52.28,56.24,13.81,35.93,66.32,30.72,85.09
657,104.56,357.44,61.68,55.47,56.03,14.95,38.16,66.78,32.44,84.03
658,103.24,364.66,63.15,54.45,55.87,14.5,37.31,64.98,32.56,82.33
659,107.11,377.0,63.6,55.48,56.31,15.27,38.39,66.53,33.06,79.87
660,106.17,372.44,63.4,55.48,55.84,15.42,38.35,66.01,33.36,80.05
661,111.94,379.09,64.13,58.15,56.59,16.27,39.78,65.74,33.89,79.08
662,111.71,386.56,64.47,59.1,56.91,15.76,39.49,67.43,34.94,79.11
663,112.35,387.69,65.63,58.96,59.22,15.44,39.02,66.47,35.64,81.35
664,110.08,385.98,65.16,58.76,57.39,14.94,38.29,66.51,35.33,78.2
